File1,File2,Conflict_Type,Claim1,Claim2,Evidence_Location,Severity,Resolution_Recommendation
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,completion_percentage,"67% complete","35% (vs. previously claimed 85%)","line 8 vs line 75","critical","Evidence-based reconciliation using main README.md as authoritative source"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,project_status,"67% Complete (Evidence-Based Assessment)","35% (vs. previously claimed 85%)","line 8 vs line 75","critical","Use comprehensive analysis from main README.md showing actual 67% completion with evidence"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,system_assessment,"substantial production-ready infrastructure","prototype core infrastructure","line 10 vs line 16","high","Main README provides more accurate assessment based on actual code analysis"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\.claude\README.md,completion_percentage,"67% complete","~65% actual completion","line 8 vs line 7","low","Minor discrepancy - consolidate to 67% based on main README evidence"
C:\Users\17175\Desktop\AIVillage\docs\README.md,C:\Users\17175\Desktop\AIVillage\.claude\README.md,rag_performance,"1.509 ms with 100% accuracy","93% complete with 15.34ms P95 latency","line 38 vs line 17","high","Contradictory RAG performance metrics requiring technical validation"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,rag_accuracy,"0% P@10 accuracy vs 75% target","100% accuracy on 5 queries","line 30 vs line 38","critical","Major contradiction in RAG system accuracy - technical investigation required"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,agent_count,"31 specialized agents","~18 specialized agent types","line 13 vs line 21","medium","Clarify whether counting agent types vs instances - likely 31 total agents, 18 types"
C:\Users\17175\Desktop\AIVillage\docs\README.md,C:\Users\17175\Desktop\AIVillage\integrations\clients\README.md,sdk_status,"working features vs partial features","Production status for all SDKs","line 18-42 vs line 9-16","medium","Reconcile SDK status claims with actual implementation status"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\guides\README_AGENT_FORGE_CONSOLIDATED.md,agent_forge_status,"Agent Forge Phase 1: 25M parameter","CONSOLIDATION COMPLETE - 100% COMPLETE","line 14 vs line 198-200","medium","Clarify if Phase 1 complete means full Agent Forge complete or just first phase"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\integrations\bounties\betanet\README.md,betanet_status,"P2P Integration: Protocol mismatch prevents connections","Betanet Bounty Complete with seamless integration","line 31 vs line 343","high","Major contradiction in Betanet system status requiring resolution"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\models\hrrm\README.md,hrrm_status,"Agent Forge Advanced Phases: 6 additional phases requiring development","IMPLEMENTATION COMPLETE (August 20, 2025)","line 95 vs line 5-6","high","Clarify if HRRM completion means full Agent Forge phases are complete"
C:\Users\17175\Desktop\AIVillage\docs\README.md,C:\Users\17175\Desktop\AIVillage\ui\README.md,ui_status,"Partially Implemented (Needs Work)","CONSOLIDATION COMPLETE - Production Ready","line 33-42 vs line 3-6","high","Major status discrepancy in UI system completion"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\core\gateway\README.md,gateway_status,"Production deployment challenges","Production-ready HTTP API gateway","line 110-112 vs line 4","medium","Clarify production readiness vs deployment challenges"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\edge_computing_fog_coordination\README.md,fog_computing_status,"Fog Computing Platform: Complete 6-task implementation","Comprehensive framework for distributed edge computing","line 15 vs line 5","low","Consistent but verify 6-task implementation details"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\infrastructure\shared\education\README.md,mobile_capabilities,"Mobile Resource Management: Battery/thermal-aware policies","React Native application for offline-first learning","line 16 vs line 3","medium","Different scope of mobile capabilities - education app vs resource management"
